	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni
0	помнить_VERB	-0.2546118933065659	0.00024650802135114675	10	0.599507507925989	ты_PRON	-0.22658492262393642	0.0011508592870947032	12.0	1.3522596623362764	как_SCONJ	-0.1433086886136881	0.0413735858409221	5.0	40.42199336658089	очень_ADV	0.16618742878422385	0.01780314580242876	17.0	12.51561149910742	но_CCONJ	0.15310148199412288	0.02920093478415046	6.0	28.675317958035752	видеться_VERB	0.19609545131690906	0.005048033367851175	12.0	5.335771269818692	на_ADP	0.16973538530548712	0.015477162211532306	13.0	8.744596649515753	что_SCONJ	0.1457255893464276	0.03802955639182526	14.0	26.696748587061332	год_NOUN	-0.18091189737760283	0.009793681375082536	7.0	9.597807747580886	ты_PRON	-0.1837114446744588	0.008698283437761847	11.0	6.193177807686435	в_ADP	0.19460958356713087	0.005397696088026535	11.0	2.32100931785141	наш_DET	-0.18614116449315216	0.007837164100477316	6.0	3.8088617528319757	что_SCONJ	0.1983840475312544	0.004549126850737961	21.0	2.915990311323033	хотеться_VERB	0.15771889572497078	0.024617262037677685	5.0	16.518182827281727	письмо_NOUN	0.20380952555774393	0.003538889899364255	15.0	1.6349671335062856	происходить_VERB	0.15197048446024713	0.030428840919652804	6.0	10.071946344405077
1	найти_VERB	-0.24716553983941417	0.0003777770370960211	11	0.9187537542175234																					скучать_VERB	0.17184009705884076	0.014226651351128572	25.0	15.0375704781429	и_CCONJ	0.16482864201768	0.01877132273286693	18.0	10.605797344069815						давно_ADV	0.17903998593404297	0.010592560334115033	25.0	10.380709127432732	у_ADP	-0.1566440646004172	0.02562498664585777	17.0	18.244990491850732	что_PRON	0.1739134313738586	0.013082200286912793	20.0	5.625346123372501	а_CCONJ	-0.14432100306354978	0.03994401468904	7.0	19.412791138873438	все_PRON	0.19278154672513187	0.005857563827851747	66.0	3.75469841365297						как_SCONJ	0.16560206885069143	0.01821477557649308	13.0	8.415226316339803					
2	когда_SCONJ	-0.23801435705992158	0.0006273242398663807	10	1.5256525513550379																					весь_DET	-0.15631182126199414	0.025943566753803424	12.0	27.42235005877022											поехать_VERB	0.1695457025458436	0.015594441719941817	6.0	15.28255288554298						даже_PART	0.1562559896210639	0.025997434572582755	9.0	11.178896866210584	мы_PRON	-0.14110887109707454	0.04462883814478468	7.0	21.689615338365353	я_PRON	0.16748694555571947	0.016918126609364197	70.0	10.84451915660245						на_ADP	0.14704647463023127	0.036300425042549385	9.0	16.770796369657816					
3	почти_ADV	-0.19884500415923	0.004454175005543957	5	10.832553613482904																					по_ADP	0.15576630983979262	0.026474016329635506	35.0	27.983035260424728											не_PART	0.1564395176665593	0.02582072189060697	66.0	25.30430745279483																весна_NOUN	0.1543294252446888	0.02791593915391642	5.0	17.894116997660426						скучать_VERB	0.14614275258277612	0.03747610158012612	9.0	17.313958930018266					
4	-_PRON	0.1967488534525668	0.004900811109561069	10	11.91877261845252																					ждать_VERB	0.14644487358586708	0.03707953557129046	17.0	39.19306909885402																																																		
5	там_ADV	-0.17592300434329708	0.0120508855162286	23	29.307753575467956																					наш_DET	-0.142647919972799	0.04232971762504817	8.0	44.742511529675916																																																		
6	сегодня_ADV	-0.1739330968170713	0.013071743898270713	5	31.790481160594375																					я_PRON	0.13940093115546354	0.047301733578184985	79.0	49.99793239214153																																																		
7	видеться_VERB	0.1683870700995218	0.016327803894556993	16	39.70921907156261																					за_ADP	0.13789578204736846	0.049766792058687975	13.0	52.60349920603319																																																		
8	из_ADP	0.1598303796015521	0.02273651078197817	14	55.29519422177091																																																																											
9	столько_ADV	0.15730717595785662	0.02499917610893486	7	60.797996296929576																																																																											
10	закончить_VERB	-0.1560572246795274	0.02618998788450791	6	63.69405053512324																																																																											
11	рассказывать_VERB	0.15150441879466728	0.030947502733206442	7	75.26432664715807																																																																											
12	ведь_SCONJ	0.15029490002446189	0.03232877507691462	5	78.62358098705636																																																																											
13	собираться_VERB	-0.15027886106966215	0.03234743817655966	9	78.6689696453931																																																																											
14	лето_NOUN	-0.14652144673701736	0.036979590345889296	9	89.93436372120277																																																																											
15	чтобы_SCONJ	-0.1462071576094773	0.03739126400361312	15	90.9355540567871																																																																											
16	встретиться_VERB	-0.14538495618328104	0.03848657986649388	6	93.59936223531311																																																																											
17	любимый_ADJ	0.14490001560832375	0.039145205661786385	5	95.2011401694645																																																																											
18	за_ADP	0.1434536506335963	0.04116627199051821	40	100.1163734809403																																																																											
19	другой_ADJ	0.14201914543871688	0.04325671234764403	6	105.20032442947027																																																																											
20	все_ADV	0.13987039126222978	0.04655404984982078	6	113.21944923476414																																																																											
21	поехать_VERB	-0.13853355207325768	0.048709531016379266	9	118.46157943183438																																																																											
22	общий_ADJ	0.13801196339307223	0.04957278246048528	9	120.5610069439002																																																																											
